DISCIPLINA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ESZS019-17,-0.13260426,0.06626061,0.19518015,0.022627229,0.035699848,-0.08289729,0.16053994,-0.071792826,0.08084293,0.011946829,0.13742544,0.17738003,0.15683371,-0.23295692,-0.17686898,-0.0460303,-0.030499505,0.09601526,0.28124788,0.24618746,-0.2313513,0.055983502,0.22886369,-0.36319244,-0.11979808,0.23303773,-0.059345897,0.0062450897,0.18629749,0.11054589,0.1559675,0.24394141,-0.46207994,-0.014342604,0.02473882,-0.012471462,-0.08723366,0.27204624,0.20085269,0.0071910433,0.3544408,0.05760001,0.036142092,0.029709179,0.083046466,-0.034788705,0.1403281,-0.33403626,-0.22529642,0.122195005,0.27011725,-0.024495415,-0.038841005,0.1693294,0.018699259,-0.0013246953,0.048428338,-0.05792705,0.12494282,-0.28174257,0.07150573,-0.1742115,-0.052762937,0.05464672
ESTS012-17,-0.1339917,-0.061760955,0.6378837,-0.27332887,0.22230221,0.208095,-0.1170181,-0.5135597,0.31975257,0.51053464,0.055265855,0.5605694,0.31345883,-0.69266367,-0.81202966,-0.26235124,0.4078493,-0.13014726,0.40846518,0.95329624,-0.9798046,0.3553187,0.8792445,-1.305648,-0.2908633,0.6227607,0.11467845,-0.2592189,0.32527086,0.2895908,0.2608327,0.8556309,-1.2998803,0.36316782,-0.042928036,-0.11935175,-0.17141709,0.56261003,0.28260738,0.17317967,0.7369895,-0.1218604,0.045460664,0.45056877,0.3694357,-0.19179206,0.36249712,-0.86514145,-0.7812125,0.26419708,0.7352749,-0.26670426,-0.39878625,0.14988002,-0.36636078,0.043017413,0.21999337,-0.22366197,0.5362238,-0.9551308,-0.0013871395,-0.5421865,-0.058804538,-0.07479959
ESTS002-17,-0.14537153,0.20454848,0.28569177,0.068930104,0.039134696,-0.14395125,0.12644462,0.13535988,0.20964967,-0.020473167,0.20517421,0.21284409,0.28617844,-0.09295535,-0.36443877,0.010772715,0.016650124,0.14757487,0.30691198,0.14289261,-0.18438801,0.1823297,0.2788884,-0.30589476,-0.09588577,0.25034988,-0.002845183,0.16490702,0.2835485,0.24544044,0.15713121,0.2907236,-0.541977,-0.019967875,-0.007782724,-0.04383102,0.0020906194,0.33050454,0.24252436,-0.028767271,0.39876312,0.058376707,0.010053725,-0.13287479,0.17452663,0.055220135,0.11622003,-0.35341498,-0.1497567,0.16581191,0.26338136,-0.049179077,-0.06600344,0.15797743,0.06779854,-0.15438934,-0.10523508,-0.08846994,-0.01701267,-0.31330746,0.13133751,-0.1570103,-0.10946148,0.016283467
ESZS001-17,-0.0006223433,-0.005137123,-0.0067930836,-0.013536351,0.004332805,-0.0020582117,0.0072458107,0.010168135,0.0104184,0.013757743,0.001719214,0.005138578,0.008309597,-0.012114352,0.006383607,0.0099275485,0.004270602,0.00723093,0.008747643,-0.0031544827,0.00047793798,-0.00617378,0.004702594,0.0036003124,-0.0014307909,-0.007095903,-0.00088205375,0.008485654,0.012850277,-0.0046012234,0.00644828,0.013763005,-0.0075378213,0.0028441325,0.00785497,-0.009986965,-0.01158822,0.0015439931,0.0057957266,-0.014948837,-0.004643284,0.01187999,-0.012115115,-0.012009913,-0.0043234713,-0.014248485,-0.014373157,0.012174623,0.005871054,0.010409975,-0.011473289,0.0071244594,0.0116475355,0.009793289,0.014468964,0.010653164,0.010255424,0.010871723,0.003809508,-0.010131491,-0.011118691,-0.015448442,0.0014540814,-0.013079371
ESZS002-17,-0.046438865,0.022893416,0.027338112,-0.0048482507,0.009933343,-0.05207034,0.044890527,-0.015326654,0.0545698,-0.0042315866,0.023008564,0.049339876,0.0920596,-0.08945937,-0.04708372,0.029724069,-0.023340378,0.038313165,0.13686803,0.10161748,-0.073249474,0.030314889,0.045413803,-0.11046964,-0.04438753,0.11498178,-0.034192044,0.014618344,0.11365341,0.028679585,0.06863796,0.07883684,-0.17382875,-0.0098165525,-0.0072135944,0.011956021,-0.043495234,0.116539314,0.06426043,0.018395714,0.13314769,0.0042711007,0.031388786,-0.0056681638,0.026283406,-0.00079432764,0.06201914,-0.1240889,-0.07085503,0.006424864,0.10716168,-0.007709467,0.0168326,0.059150353,-0.0013229497,-0.013739009,-0.016229166,0.005799522,0.0356796,-0.10902306,0.015258706,-0.034547046,-0.02241446,0.05042136
ESAE006-23,-0.061262317,0.038226463,0.04942022,0.049242005,0.002886578,-0.048106443,0.07640584,-0.009253461,0.02784851,-0.02105008,0.058059003,0.0563936,0.08771922,-0.09614001,-0.044470698,0.013320991,-0.026503667,0.049936384,0.14405036,0.12600043,-0.07697407,0.052271444,0.059268408,-0.13286604,-0.058455907,0.087872,-0.03640195,-0.00018821761,0.07935563,0.045927063,0.09818593,0.08228053,-0.1838326,-0.022557972,0.000677147,0.010863254,-0.036767405,0.12515675,0.077135496,0.00057644106,0.1651356,0.017876994,0.033176072,0.0013291162,0.020810159,-0.010199033,0.048324373,-0.1358454,-0.06362566,0.02270372,0.108593374,-0.0084987655,-0.0030787014,0.08694443,0.021866018,-0.025212597,-0.019333446,-0.0042697634,0.019557532,-0.11241111,0.05741275,-0.0442841,-0.05883049,0.039272003
ESHR027-21,-0.05113899,0.042661317,0.04000611,0.008763234,-0.013215993,-0.028319035,0.058828905,0.013797694,0.022860035,-0.015110471,0.05008727,0.03983168,0.06177773,-0.050207466,-0.027044697,-0.006886279,-0.021389615,0.041209936,0.10820593,0.09042273,-0.05514269,0.031234391,0.07305551,-0.1212832,-0.023934513,0.086402,-0.0264845,0.027684791,0.06293034,0.018315572,0.0469262,0.068877384,-0.12885946,-0.009361688,0.0011922328,0.015037559,-0.035927877,0.09791733,0.06288034,0.014026645,0.0918669,0.018308243,0.022729186,0.0038812174,0.0034769352,0.015397252,0.031477828,-0.10398866,-0.04573902,0.034956783,0.09087244,-0.0032326183,-0.010011954,0.060082827,0.0053788656,-0.019081455,-0.009792588,-0.023623195,0.017684847,-0.084651046,0.03087418,-0.037679214,-0.04183105,0.031251725
MCBM013-23,-0.111773536,0.09078696,0.10525736,0.06882479,0.0008652377,-0.099058956,0.14208578,-0.019200355,0.026335761,-0.016481197,0.10217327,0.12395425,0.16505879,-0.13332918,-0.090433374,-0.0016653216,-0.05811666,0.109854616,0.20831989,0.17447251,-0.14339755,0.06362072,0.14638503,-0.23733224,-0.07137252,0.16318515,-0.094055854,0.03138649,0.17134422,0.07354926,0.105985485,0.16722247,-0.3186022,-0.052202374,0.0028546269,0.03822582,-0.049411863,0.18288894,0.14487556,0.0005218459,0.23826824,0.050242558,0.05263937,0.004449236,0.027491048,-0.013839613,0.06860869,-0.25487262,-0.13287863,0.06720056,0.19659077,0.0059747566,0.0036619916,0.12218135,0.06026294,-0.014300731,-0.003538575,-0.009072553,0.06725527,-0.18739885,0.060317572,-0.08421703,-0.06948162,0.044013206
MCTB001-17,-0.0963232,0.14509903,0.21431476,0.025908193,-0.026674107,-0.12187033,0.12770912,0.010797106,0.028328774,-0.028244162,0.17606138,0.17737252,0.20658837,-0.21568236,-0.15133868,-0.01006172,-0.018591894,0.14649078,0.26171818,0.25041544,-0.19736132,0.073930934,0.23298441,-0.3557028,-0.118226774,0.25075236,-0.050722506,0.09072331,0.22465034,0.07491464,0.15854539,0.23032813,-0.41878006,-0.04180526,-0.01620321,0.015505455,-0.027253514,0.28705332,0.20629299,0.019981889,0.3733321,0.047538295,0.025415473,0.017042398,0.118962206,-0.010151681,0.07857419,-0.38272524,-0.20077497,0.072605856,0.28471282,-0.006785277,-0.06339322,0.20005554,0.042317603,-0.0631988,0.007447291,-0.07796833,0.12649873,-0.25528982,0.0610251,-0.17400311,-0.075361915,0.013797609
MCBM001-23,-0.15781006,0.3280371,0.2389855,-0.023335075,-0.008036086,-0.12176278,0.07582735,0.085849315,0.00638245,-0.064781785,0.27916932,0.2951186,0.32778123,-0.27559912,-0.19409542,-0.024490576,0.048693024,0.23124492,0.26643598,0.39833787,-0.20284995,-0.057052195,0.35948122,-0.44307905,-0.2626379,0.27938145,-0.10353525,0.15206493,0.35939857,0.08200838,0.13754772,0.36209255,-0.5151241,-0.047834154,0.07791253,0.0076044197,0.008471235,0.4158662,0.27856988,0.10398357,0.46270552,-0.022504114,0.018669473,0.22983475,0.19694601,0.0025771481,0.074133016,-0.5255239,-0.20668483,0.055198256,0.28646567,0.07891297,-0.05858971,0.37157768,0.0461589,-0.07619198,-0.10394591,-0.03635529,0.20993926,-0.3274896,0.05013372,-0.10264317,-0.084494494,0.06406814
