data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.3	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	PES300 / ESTATÍSTICA E PROBABILIDADE / 80H / 2024.2 / UNIVERSIDADE VIRTUAL DO ESTADO DE SÃO PAULO	PES300 / ESTATÍSTICA E PROBABILIDADE / 80H / 2024.2 / UNIVERSIDADE VIRTUAL DO ESTADO DE SÃO PAULO									Indeferido
2024.3	MCTB001-17	ÁLGEBRA LINEAR	72h	XXX / Complemento de Álgebra Linear / 80h / 2020.1 / Universidade Paulista	XXX / Complemento de Álgebra Linear / 80h / 2020.1 / Universidade Paulista	XXX / Geometria Analítica e Álgebra Linear / 60h / 2018.1 / Universidade Paulista								Deferido
2024.3	BIS0003-15	BASES MATEMÁTICAS	48h	XXX / Matemática / 80h / 2017.1 / Universidade Paulista	XXX / Matemática / 80h / 2017.1 / Universidade Paulista									Indeferido
2024.3	BIQ0602-15	ESTRUTURA E DINÂMICA SOCIAL	36h	XXX / Homem e Sociedade / 40h / 2017.1 / Universidade Paulista	XXX / Homem e Sociedade / 40h / 2017.1 / Universidade Paulista									Deferido
2024.3	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	XXX / Física geral / 80h / 2019.1 / Universidade Paulista	XXX / Física geral / 80h / 2019.1 / Universidade Paulista									Deferido
2024.3	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	XXX / Cálculo Diferencial de Uma Variável / 60h / 2019.2 / Universidade Paulista	XXX / Cálculo Diferencial de Uma Variável / 60h / 2019.2 / Universidade Paulista	XXX / Cálculo Integral: função de uma variável / 80h / 2020.1								Deferido
2024.3	BCN0407-15	FUNÇÕES DE VÁRIAS VARIÁVEIS	48h	XXX / Cálculo Diferencial e Integral de Várias Variáveis / 80h / 2020.2 / Universidade Paulista	XXX / Cálculo Diferencial e Integral de Várias Variáveis / 80h / 2020.2 / Universidade Paulista									Indeferido
2024.3	BCN0404-15	GEOMETRIA ANALÍTICA	36h	XXX / Geometria Analitica e Algebra Linear / 60h / 2018.1 / Universidade Paulista	XXX / Geometria Analitica e Algebra Linear / 60h / 2018.1 / Universidade Paulista									Deferido
2024.3	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	XXX / Probabilidade e Estatística / 40h / 2019.1 / Universidade Paulista	XXX / Probabilidade e Estatística / 40h / 2019.1 / Universidade Paulista									Indeferido
2024.3	BHO0102-15	DESENVOLVIMENTO E SUSTENTABILIDADE	48h	10602 / ECONOMIA, SOCIEDADE E MEIO AMBIENTE / 120H / 2018.1 / UNIVERSIDADE METODISTA DE SÃO PAULO	10602 / ECONOMIA, SOCIEDADE E MEIO AMBIENTE / 120H / 2018.1 / UNIVERSIDADE METODISTA DE SÃO PAULO									Deferido
2024.3	BIR0603-15	CIÊNCIA, TECNOLOGIA E SOCIEDADE	36h	8663/CIDADES VIVIDAS, CIDADES IMAGINADAS /60h /2021.1 /UNIVERSIDADE FEDERA DE SÃO PAULO	8663/CIDADES VIVIDAS, CIDADES IMAGINADAS /60h /2021.1 /UNIVERSIDADE FEDERA DE SÃO PAULO									Indeferido
2024.3	BHO0002-19	INTRODUÇÃO AO PENSAMENTO ECONÔMICO	36h	9631/M2] TERRITORIO E DINÂMICA DAS ATIVIDADES ECONÔMICAS/60h/2022/Universidade Federal de São Paulo	9631/M2] TERRITORIO E DINÂMICA DAS ATIVIDADES ECONÔMICAS/60h/2022/Universidade Federal de São Paulo									Indeferido
2024.3	ESHC028-17	ECONOMIA POLÍTICA	48h	XXXX / ECONOMIA NO SETOR PÚBLICO / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / ECONOMIA NO SETOR PÚBLICO / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	NHH2009-13	ÉTICA	48h	XXXX / ETICA / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / ETICA / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Deferido
2024.3	ESHC017-17	FINANÇAS PÚBLICAS	48h	XXXX / CONTABILIDADE PÚBLICA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / CONTABILIDADE PÚBLICA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
