data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.2	BCS0001-15	BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36h	6236 / QUIMICA DAS TRANSFORMACOES EXPERIMENTAL / 36H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6236 / QUIMICA DAS TRANSFORMACOES EXPERIMENTAL / 36H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIJ0207-15	BASES CONCEITUAIS DA ENERGIA	24h	6234 / FISICA 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6234 / FISICA 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	2230 / ESTRUTURA DA MATERIA / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2230 / ESTRUTURA DA MATERIA / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	2228 / CALCULO 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2228 / CALCULO 1 / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCK0104-15	INTERAÇÕES ATÔMICAS E MOLECULARES	36h	2592 / FISICO-QUIMICA / 108H / 2022.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	2592 / FISICO-QUIMICA / 108H / 2022.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BCL0307-15	TRANSFORMAÇÕES QUÍMICAS	60h	6235 / QUIMICA DAS TRANSFORMACOES / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	6235 / QUIMICA DAS TRANSFORMACOES / 72H / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIL0304-15	EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36h	FBIG1 / Fundamentos da Biologia / 31,7h / 2021.1/ Instituto Federal de educação, Ciência e tecnologia de São Paulo	FBIG1 / Fundamentos da Biologia / 31,7h / 2021.1/ Instituto Federal de educação, Ciência e tecnologia de São Paulo	FECG2 / Fundamentos da Ecologia / 31,7h / 2021.2/ Instituto Federal de educação, Ciência e tecnologia de São Paulo								Indeferido
2024.2	ESTA019-17	PROJETO ASSISTIDO POR COMPUTADOR	24h	05336/DESENHO ASSISTIDO POR COMPUTADOR I /42,70/2016.2/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05336/DESENHO ASSISTIDO POR COMPUTADOR I /42,70/2016.2/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05345/DESENHO ASSISTIDO POR COMPUTADOR II /42,70/2017.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO								Indeferido
2024.2	BCS0002-15	PROJETO DIRIGIDO	24h	05378/PROJETO INTEGRADO /71,20/2019.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO	05378/PROJETO INTEGRADO /71,20/2019.1/INSTITUTO FEDERAL DE EDUCAÇÃO,CIÊNCIA E TECNOLOGIA DE SÃO PAULO									Deferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	ECA B 10203 / QUÍMICA GERAL / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10203 / QUÍMICA GERAL / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	BCN0407-15	FUNÇÕES DE VÁRIAS VARIÁVEIS	48h	ECA B 10201 / CÁLCULO DIFERENCIAL E INTEGRAL II / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10201 / CÁLCULO DIFERENCIAL E INTEGRAL II / 80h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	ECA B 10306 / ESTATÍSTICA BÁSICA / 80h / 2023.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10306 / ESTATÍSTICA BÁSICA / 80h / 2023.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	MCTA003-17	ANÁLISE DE ALGORITMOS	48h	XXXX / Análise de Algoritmos / 80h / 2023.2 / Faculdade Única	XXXX / Análise de Algoritmos / 80h / 2023.2 / Faculdade Única									Deferido
2024.2	ESTO016-17	FENÔMENOS DE TRANSPORTE	48h	XXXX / Fenômenos de Transporte/ 80h / 2023.2 / Faculdade Única	XXXX / Fenômenos de Transporte/ 80h / 2023.2 / Faculdade Única									Deferido
2024.2	MCTA015-13	LINGUAGENS FORMAIS E AUTÔMATA	48h	XXXX / Linguagens Formais Autômatos e Computabilidade / 80h / 2023.2 / Faculdade Única	XXXX / Linguagens Formais Autômatos e Computabilidade / 80h / 2023.2 / Faculdade Única									Deferido
2024.2	BCS0001-15	BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS	36h	10160 / TÓPICOS DE PESQUISA EM BIOLOGIA / 36h / 2023.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	10160 / TÓPICOS DE PESQUISA EM BIOLOGIA / 36h / 2023.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	5209 / TCC I / 36h / 2023.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8181 / METODOLOGIA CIENTÍFICA - B / 36h / 2023.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8193 / PRÁTICA PEDAGÓGICA DAS CIÊNCIAS - B, F, M, Q / 72h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO						Indeferido
2024.2	BIS0003-15	BASES MATEMÁTICAS	48h	8159 / FUNDAMENTOS DE MATEMÁTICA I  / 72h / 2020.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8159 / FUNDAMENTOS DE MATEMÁTICA I  / 72h / 2020.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCL0306-15	BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE	36h	8185 / ECOLOGIA GERAL / 72h / 2023.2 /  UNIVERSIDADE FEDERAL DE SÃO PAULO	8185 / ECOLOGIA GERAL / 72h / 2023.2 /  UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	ESTB019-17	BIOESTATÍSTICA	48h	xxxx / ESTATÍSTICA / 60h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC	xxxx / ESTATÍSTICA / 60h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC									Deferido
2024.2	NHT1002-15	BIOÉTICA	24h	D865 / BIOETICA EM SAÚDE / 30H / 2019.2 / UNIVERSIDADE PAULISTA	D865 / BIOETICA EM SAÚDE / 30H / 2019.2 / UNIVERSIDADE PAULISTA									Deferido
2024.2	NHT1053-15	BIOLOGIA CELULAR	72h	J46A / CITOLOGIA / 60h / 2019.2 / UNIVERSIDADE PAULISTA	J46A / CITOLOGIA / 60h / 2019.2 / UNIVERSIDADE PAULISTA	xxxx / BIOLOGIA / 60h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC								Indeferido
2024.2	NHI5002-15	DIDÁTICA	48h	4286 / DIDÁTICA  / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	4286 / DIDÁTICA  / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	NHZ5021-16	EDUCAÇÃO EM SAÚDE E SEXUALIDADE	36h	8214 / GÊNERO E SEXUALIDADE - B, F, M, Q/ 40h / 2023.2/ UNIVERSIDADE FEDERAL DE SÃO PAULO	8214 / GÊNERO E SEXUALIDADE - B, F, M, Q/ 40h / 2023.2/ UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	J38A / Química Geral  / 60h / 2019.2 / UNIVERSIDADE PAULISTA - UNIP	J38A / Química Geral  / 60h / 2019.2 / UNIVERSIDADE PAULISTA - UNIP									Deferido
2024.2	BHQ0004-19	ESTUDOS DE GÊNERO	36h	8214 / GÊNERO E SEXUALIDADE - B, F, M, Q/ 40h / 2023.2/ UNIVERSIDADE FEDERAL DE SÃO PAULO	8214 / GÊNERO E SEXUALIDADE - B, F, M, Q/ 40h / 2023.2/ UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BHQ0002-15	ESTUDOS ÉTNICO-RACIAIS	36h	8174 / PROJETOS INTEGRADORES II - CIÊNCIA, EDUCAÇÃO E QUESTÕES ÉTNICO-RACIAIS / 36h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8174 / PROJETOS INTEGRADORES II - CIÊNCIA, EDUCAÇÃO E QUESTÕES ÉTNICO-RACIAIS / 36h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	NHT1067-15	EVOLUÇÃO E DIVERSIDADE DE PLANTAS I	48h	8176 -/BOTÂNICA ESTRUTURAL E FUNCIONAL - B  / 72h / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8176 -/BOTÂNICA ESTRUTURAL E FUNCIONAL - B  / 72h / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	NHT1068-15	EVOLUÇÃO E DIVERSIDADE DE PLANTAS II	72h	8184 / BOTÂNICA SISTEMÁTICA - B/ 72h / 2023.2  / UNIVERSIDADE FEDERAL DE SÃO PAULO	8184 / BOTÂNICA SISTEMÁTICA - B/ 72h / 2023.2  / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BIL0304-15	EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA	36h	8169 /EVOLUÇÃO, SISTEMÁTICA E BIODIVERSIDADE / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8169 /EVOLUÇÃO, SISTEMÁTICA E BIODIVERSIDADE / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8177 / -ZOOLOGIA DOS INVERTEBRADOS - B - NOTURNO / 72h / 2022.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8178 / ZOOLOGIA DOS DEUTEROSTOMADOS - B / 72h / 2022.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO							Deferido
2024.2	BCJ0203-15	FENÔMENOS ELETROMAGNÉTICOS	60h	8172 / ELETRICIDADE, MAGNETISMO E NATUREZA DA LUZ / 72h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8172 / ELETRICIDADE, MAGNETISMO E NATUREZA DA LUZ / 72h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	8161 / MOVIMENTOS E INTERAÇÕES  / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8161 / MOVIMENTOS E INTERAÇÕES  / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCJ0205-15	FENÔMENOS TÉRMICOS	48h	8167 / ENERGIA/ 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8167 / ENERGIA/ 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	8162 / CÁLCULO DIFERENCIAL E INTEGRAL I  / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8162 / CÁLCULO DIFERENCIAL E INTEGRAL I  / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BCN0407-15	FUNÇÕES DE VÁRIAS VARIÁVEIS	48h	8168 / CÁLCULO DIFERENCIAL E INTEGRAL II   / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8168 / CÁLCULO DIFERENCIAL E INTEGRAL II   / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	NHZ6001-18	FUNDAMENTOS DA BIOTECNOLOGIA	24h	8196 / BIOTECNOLOGIA - B  / 36h / 2023.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8196 / BIOTECNOLOGIA - B  / 36h / 2023.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	NHZ5016-15	HISTÓRIA DA EDUCAÇÃO	48h	8165 / HISTÓRIA DA EDUCAÇÃO, DIVERSIDADE E CULTURA ESCOLAR / 36h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8165 / HISTÓRIA DA EDUCAÇÃO, DIVERSIDADE E CULTURA ESCOLAR / 36h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8211 / HISTÓRIA DA EDUCAÇÃO NO BRASIL: O ENSINO DAS CIÊNCIAS / 36h / 2020.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO								Deferido
2024.2	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	8179/ INTRODUÇÃO À ESTATÍSTICA / 36h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8179/ INTRODUÇÃO À ESTATÍSTICA / 36h / 2021.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Indeferido
2024.2	NHI5015-22	LIBRAS	48h	8175 / LIBRAS E EDUCAÇÃO DE SURDOS / 36h/ 2021.2 / universidade federal de são paulo	8175 / LIBRAS E EDUCAÇÃO DE SURDOS / 36h/ 2021.2 / universidade federal de são paulo	xxxx / Libras / 40h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC								Deferido
2024.2	NHI5011-13	POLÍTICAS EDUCACIONAIS	36h	3565 / POLÍTICAS EDUCACIONAIS E GESTÃO ESCOLAR  / 36h / 2020.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO	3565 / POLÍTICAS EDUCACIONAIS E GESTÃO ESCOLAR  / 36h / 2020.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	ESTO012-17	PRINCÍPIOS DE ADMINISTRAÇÃO	24h	xxxx / Introdução a administração / 60h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC	xxxx / Introdução a administração / 60h / 2019.1 / CENTRO UNIVERSITÁRIO SAÚDE ABC									Deferido
2024.2	BCL0307-15	TRANSFORMAÇÕES QUÍMICAS	60h	8164 /MISTURAS, SOLUÇÕES E REAÇÕES / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8164 /MISTURAS, SOLUÇÕES E REAÇÕES / 72h / 2020.2 / UNIVERSIDADE FEDERAL DE SÃO PAULO	8170 / ESPONTANEIDADE E CINÉTICA / 72h / 2021.1 / UNIVERSIDADE FEDERAL DE SÃO PAULO								Deferido
2024.2	NHT1063-15	ZOOLOGIA DE INVERTEBRADOS I	72h	8177 / ZOOLOGIA DOS INVERTEBRADOS / 2022.1 / 72H / UNIVERSIDADE FEDERAL DE SÃO PAULO	8177 / ZOOLOGIA DOS INVERTEBRADOS / 2022.1 / 72H / UNIVERSIDADE FEDERAL DE SÃO PAULO									Deferido
2024.2	BIK0102-15	ESTRUTURA DA MATÉRIA	36h	0058 / FUNDAMENTOS DE QUÍMICA / 90H / 2023.1 / UNIVERSIDADE DE BRASÍLIA	0058 / FUNDAMENTOS DE QUÍMICA / 90H / 2023.1 / UNIVERSIDADE DE BRASÍLIA	0126 / QUÍMICA GERAL EXPERIMENTAL / 30H / 2023.1 / UNIVERSIDADE DE BRASÍLIA								Deferido
2024.2	BCN0404-15	GEOMETRIA ANALÍTICA	36h	0031 / INTRODUÇÃO À ÁLGEBRA LINEAR / 60H / 2023.1 / UNIVERSIDADE DE BRASÍLIA	0031 / INTRODUÇÃO À ÁLGEBRA LINEAR / 60H / 2023.1 / UNIVERSIDADE DE BRASÍLIA									Indeferido
2024.2	BCL0307-15	TRANSFORMAÇÕES QUÍMICAS	60h	0058 / FUNDAMENTOS DE QUÍMICA / 90H / 2023.1 / UNIVERSIDADE DE BRASÍLIA	0058 / FUNDAMENTOS DE QUÍMICA / 90H / 2023.1 / UNIVERSIDADE DE BRASÍLIA	0126 / QUÍMICA GERAL EXPERIMENTAL / 30H / 2023.1 / UNIVERSIDADE DE BRASÍLIA								Deferido
2024.2	NHT3013-13	FÍSICA TÉRMICA	48h	FIS107 / MECÂNICA ESTATÍSTICA I / 180H / 2016.3 / UNIVERSIDADE FEDERAL DO ABC	FIS107 / MECÂNICA ESTATÍSTICA I / 180H / 2016.3 / UNIVERSIDADE FEDERAL DO ABC									Deferido
2024.2	NHT3036-13	MECÂNICA ESTATÍSTICA	72h	FIS107 / MECÂNICA ESTATÍSTICA I / 180H / 2016.3 / UNIVERSIDADE FEDERAL DO ABC	FIS107 / MECÂNICA ESTATÍSTICA I / 180H / 2016.3 / UNIVERSIDADE FEDERAL DO ABC									Deferido
2024.2	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	FIS 201 / Física I / 60H / 2021.2 / UNIVERSIDADE FEDERAL DE VIÇOSA	FIS 201 / Física I / 60H / 2021.2 / UNIVERSIDADE FEDERAL DE VIÇOSA									Deferido
2024.2	BCJ0205-15	FENÔMENOS TÉRMICOS	48h	QUI 152 / FÍSICO-QUIMICA I / 45H / 2022.1 / UNIVERSIDADE FEDERAL DE VIÇOSA	QUI 152 / FÍSICO-QUIMICA I / 45H / 2022.1 / UNIVERSIDADE FEDERAL DE VIÇOSA	QUI 153 / LABORATÓRIO DE FÍSICO-QUÍMICA I / 30H / 2022.1 / UNIVERSIDADE FEDERAL DE VIÇOSA								Deferido
2024.2	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	MAT 140  / CÁLCULO I / 60H / 2021.1/ UNIVERSIDADE FEDERAL DE VIÇOSA	MAT 140  / CÁLCULO I / 60H / 2021.1/ UNIVERSIDADE FEDERAL DE VIÇOSA									Deferido
2024.2	ESTO011-17	FUNDAMENTOS DE DESENHO TÉCNICO	24h	ARQ 201 / REPRESENTAÇÃO GRÁFICA PARA ENGENHARIA / 90H / 2021.2 /UNIVERSIDADE FEDERAL DE VIÇOSA	ARQ 201 / REPRESENTAÇÃO GRÁFICA PARA ENGENHARIA / 90H / 2021.2 /UNIVERSIDADE FEDERAL DE VIÇOSA									Indeferido
2024.2	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	EST 105 / INICIAÇÃO À ESTATÍSTICA / 60H / 2022.1 / UNIVERSIDADE FEDERAL DE VIÇOSA	EST 105 / INICIAÇÃO À ESTATÍSTICA / 60H / 2022.1 / UNIVERSIDADE FEDERAL DE VIÇOSA									Deferido
2024.2	BCN0405-15	INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS	48h	MAT 147 / CÁLCULO II / 60H / 2021.2 / UNIVERSIDADE FEDERAL DE VIÇOSA	MAT 147 / CÁLCULO II / 60H / 2021.2 / UNIVERSIDADE FEDERAL DE VIÇOSA									Deferido
2024.2	ESTO012-17	PRINCÍPIOS DE ADMINISTRAÇÃO	24h	ADM 100 / INTRODUÇÃO À ADMINISTRAÇÃO / 60H / 2021.1 / UNIVERSIDADE FEDERAL DE VIÇOSA	ADM 100 / INTRODUÇÃO À ADMINISTRAÇÃO / 60H / 2021.1 / UNIVERSIDADE FEDERAL DE VIÇOSA									Deferido
2024.2	BCL0308-15	BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS	60h	E 10401/ BIOQUIMICA DE ALIMENTOS/ 80ha = 66,7h / 2023.2/ FACULDADE ENGENHEIRO SALVADOR ARENA	E 10401/ BIOQUIMICA DE ALIMENTOS/ 80ha = 66,7h / 2023.2/ FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	B 10206 / MECANICA GERAL / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10206 / MECANICA GERAL / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10307 / MECANICA DOS SOLIDOS / 80ha = 66,7h / 2023.1 / FACULDADE ENGENHEIRO SALVADOR ARENA								Deferido
2024.2	BCJ0205-15	FENÔMENOS TÉRMICOS	48h	B 10404 / FENOMENOS DE TRANSPORTE / 120 ha = 100h / 2023.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10404 / FENOMENOS DE TRANSPORTE / 120 ha = 100h / 2023.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	BCK0103-15	FÍSICA QUÂNTICA	36h	B 10910/ QUIMICA GERAL / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10910/ QUIMICA GERAL / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	BCN0404-15	GEOMETRIA ANALÍTICA	36h	B 10101 / ALGEBRA LINEAR E GEOMETRIA ANALÍTICA / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10101 / ALGEBRA LINEAR E GEOMETRIA ANALÍTICA / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10204 / FISICA GERAL E EXPERIMENTAL I / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA								Deferido
2024.2	BCK0104-15	INTERAÇÕES ATÔMICAS E MOLECULARES	36h	B 10205 / FÍSICO QUÍMICA / 88ha = 66,7h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10205 / FÍSICO QUÍMICA / 88ha = 66,7h / 2022.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	B 10910/ QUIMICA GERAL / 80ha = 66,7h / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA								Indeferido
2024.2	MCTC025-20	BIOFÍSICA DE MEMBRANAS	72h	774073 / REGULAÇÃO ORGÂNICA I / 200H / 2023.1 / UNIVERSIDADE SANTO AMARO	774073 / REGULAÇÃO ORGÂNICA I / 200H / 2023.1 / UNIVERSIDADE SANTO AMARO									Indeferido
2024.2	NHT1053-15	BIOLOGIA CELULAR	72h	774065 / BASES ESTRUTURAIS DA VIDA I / 220H / 2023.1 / UNIVERSIDADE SANTO AMARO	774065 / BASES ESTRUTURAIS DA VIDA I / 220H / 2023.1 / UNIVERSIDADE SANTO AMARO									Indeferido
2024.2	MCTA001-17	ALGORITMOS E ESTRUTURAS DE DADOS I	48h	ECA B 10105 / ALGORITMO E INFORMÁTICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10105 / ALGORITMO E INFORMÁTICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	MCTA037-17	BANCO DE DADOS	48h	ECA 10304 / PROGRAMAÇÃO VISUAL E BANCO DE DADOS / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA 10304 / PROGRAMAÇÃO VISUAL E BANCO DE DADOS / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	ESTA002-17	CIRCUITOS ELÉTRICOS I	60h	ECA B 10204 /  ELETRICIDADE APLICADA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10204 /  ELETRICIDADE APLICADA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	ESTA007-17	ELETRÔNICA ANALÓGICA APLICADA	60h	ECA P 10403 / ELETRÔNICA ANALÓGICA / 66,67H / 2023.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA P 10403 / ELETRÔNICA ANALÓGICA / 66,67H / 2023.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	ESTI002-17	ELETRÔNICA DIGITAL	72h	ECA B 10106 / SISTEMAS DIGITAIS / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10106 / SISTEMAS DIGITAIS / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B10303 / ELETROTÉCNICA E INSTALAÇÕES ELÉTRICAS / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA								Indeferido
2024.2	BCJ0204-15	FENÔMENOS MECÂNICOS	60h	ECA P 10305 / OPERAÇÕES DE MANUFATURA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA P 10305 / OPERAÇÕES DE MANUFATURA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	BCN0402-15	FUNÇÕES DE UMA VARIÁVEL	48h	ECA B 10101 / CÁLCULO DIFERENCIAL E INTEGRAL I / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10101 / CÁLCULO DIFERENCIAL E INTEGRAL I / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	BCN0407-15	FUNÇÕES DE VÁRIAS VARIÁVEIS	48h	ECA B 10201 / CÁLCULO DIFERENCIAL E INTEGRAL II / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10201 / CÁLCULO DIFERENCIAL E INTEGRAL II / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	ESTO011-17	FUNDAMENTOS DE DESENHO TÉCNICO	24h	ECA B 10104 / EXPRESSÃO GRÁFICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10104 / EXPRESSÃO GRÁFICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Indeferido
2024.2	BCN0404-15	GEOMETRIA ANALÍTICA	36h	ECA B 10103 / ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10103 / ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA / 66,67H / 2021.2 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	ECA B 10306 / ESTATÍSTICA BÁSICA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10306 / ESTATÍSTICA BÁSICA / 66,67H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA									Deferido
2024.2	ESTO006-17	MATERIAIS E SUAS PROPRIEDADES	48h	ECA B 10302 / CIÊNCIA DOS MATERIAIS / 33,33H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA B 10302 / CIÊNCIA DOS MATERIAIS / 33,33H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA	ECA E 10207 / PROJETO INTEGRADOR I / 33,33H / 2022.1 / FACULDADE ENGENHEIRO SALVADOR ARENA								Deferido
